#exonID__	ExcitatoryNeurons	InhibitoryNeurons	Astrocytes	Oligodendrocytes	OPCs	VLMCs
chr1_78660554_78660654	NA	NA	0.55	NA	NA	NA
chr14_30628209_30628279	0.636364	0.781818	0.93617	0.677419	0.78125	NA
chr9_86326371_86326491	0.197368	0.2	0.380952	0.15	NA	NA
chr3_342984_343031	0.0229885	0.030303	0.857143	NA	1	NA
chr3_194660073_194660133	0.888889	0.933333	0.914286	0.928571	1	NA
chr10_73354734_73354835	NA	NA	0.776471	0.833333	NA	NA
chr22_20718693_20718822	0.863636	NA	1	NA	NA	NA
chr10_42632295_42632439	0.85	0.96875	0.826087	NA	0.9375	NA
chr7_152222001_152222066	0.831373	0.864322	0.919395	0.902913	0.93617	NA
chr13_36994989_36995035	0.846154	0.735849	0.877193	0.863636	0.708333	NA
chr7_102832840_102832974	NA	NA	0.2	NA	NA	NA
chr2_174571676_174572446	NA	NA	NA	NA	NA	NA
chr19_43526201_43526349	NA	NA	0.52381	0.692308	NA	NA
chr9_125312452_125312612	1	0.846154	1	0.916667	NA	NA
chr13_95970112_95970262	0.95	0.954545	0.970588	0.933333	0.9	NA
chr9_13115248_13115334	0.829268	0.870968	0.64	0.857143	NA	NA
chr14_88616142_88616242	1	NA	NA	NA	NA	NA
chr13_60444683_60444748	0.846154	0.75	0.891304	0.928571	0.892857	NA
chr4_343782_343908	0.963303	0.922078	0.896552	0.890909	0.880952	NA
chr1_213011208_213011458	0.204301	0.0816327	0.0983607	0.0588235	0.0357143	NA
chr1_234463837_234463934	0.214286	0.0909091	NA	NA	NA	NA
chr12_132641647_132641851	NA	NA	NA	NA	NA	NA
chr1_26112460_26112650	NA	NA	NA	NA	NA	NA
chr10_118322305_118322411	0.0196078	0.075	0.147059	0	NA	NA
chr1_32095660_32095762	0.102041	0.0769231	0.0555556	NA	NA	NA
chr10_60941804_60941854	0.947761	1	1	0.890909	NA	NA
chr4_76382610_76382720	0.2	NA	NA	NA	NA	NA
chr3_141915970_141916020	0.837209	0.962963	0.985294	0.953846	0.87037	0.923077
chr1_174272414_174272480	0.7	NA	NA	NA	NA	NA
chr1_225879220_225879410	NA	NA	NA	NA	NA	NA
chr9_137576309_137576402	NA	NA	NA	NA	NA	NA
chr4_177436276_177436351	NA	NA	NA	0.263158	NA	NA
chr17_5404099_5404246	0.777778	0.966667	0.703704	0.764706	NA	NA
chr2_27084991_27085008	NA	NA	0.777778	NA	NA	NA
chr5_37245710_37245845	0.928571	0.933333	0.852941	0.777778	1	NA
chr1_197509649_197509803	NA	NA	0.84375	NA	NA	NA
chr1_39328601_39328706	0.294118	0.0909091	0.174312	0	0.1875	NA
chr1_25385711_25385844	NA	NA	NA	NA	NA	NA
chr16_67658555_67658641	0.767442	0.870968	0.583333	NA	NA	NA
chrX_139586378_139586487	0.666667	0.967742	NA	NA	NA	NA
chr1_159045297_159045464	NA	NA	0.454545	0.263158	NA	NA
chr8_73979079_73979171	0.366667	0.176471	0.195122	0	0	NA
chr2_178671971_178672267	NA	NA	NA	NA	NA	NA
chr3_138112364_138112500	0.666667	1	0.344828	NA	0.571429	NA
chr11_68089821_68089880	NA	NA	NA	0	NA	NA
chr10_97484103_97484151	1	NA	0.833333	1	NA	NA
chr12_108799000_108799200	NA	NA	NA	NA	NA	NA
chr2_201129729_201130146	NA	NA	1	0.961538	NA	NA
chr12_51687091_51687219	NA	NA	NA	NA	NA	NA
chrX_24151691_24151800	NA	NA	NA	NA	NA	NA
chr3_142313136_142313174	0.153846	NA	NA	NA	NA	NA
chr9_97546185_97546341	0.976471	0.970588	NA	0.9375	0.8125	NA
chr1_26885973_26886133	NA	NA	0.9	NA	NA	NA
chr12_100922226_100922330	0.372881	0.267442	0.1875	0.32963	0.222222	NA
chr2_74201382_74201479	NA	NA	NA	NA	NA	NA
chr20_37996749_37996953	NA	NA	0.961538	0.8	1	NA
chr10_32623719_32623817	0.315789	0.333333	0.571429	0.461538	NA	NA
chr1_86384676_86384801	0.707763	0.727811	0.888889	0.9	NA	NA
chr2_202278212_202278329	0.155556	0.0869565	0.128205	NA	NA	NA
chr6_75702645_75703072	0.89441	0.938272	0.891892	0.923077	0.904762	NA
chr10_13108138_13108289	0.0416667	0.0810811	0.145455	0.333333	NA	NA
chr19_22514364_22514630	NA	NA	0.235955	NA	NA	NA
chr8_119607922_119607977	NA	NA	NA	0.84	NA	NA
chr6_55514048_55514196	0.619048	0.75	NA	NA	NA	NA
chrX_48895352_48895501	0	0.0526316	0.136364	0.2	0.214286	NA
chr16_11691290_11692082	1	0.923077	0.882353	0.916667	NA	NA
chr1_145400389_145400594	NA	NA	0.857143	NA	NA	NA
chr11_115190888_115190941	0.126984	0.209877	0.653144	0.164706	0.407407	NA
chrX_106956480_106956534	0.545455	NA	NA	NA	NA	NA
chr12_48918685_48918903	NA	NA	NA	NA	NA	NA
chr8_42865416_42865489	0.869565	0.892857	0.833333	0.923077	0.818182	NA
chr3_155906160_155906263	0.973684	0.90625	0.906977	1	NA	NA
chr22_43735857_43735993	1	0.947368	0.923077	NA	NA	NA
chr12_51780202_51780271	0	0	NA	NA	NA	NA
chr3_167248608_167248649	0.231707	NA	NA	NA	NA	NA
chr3_167633409_167633532	NA	NA	0.142857	NA	NA	NA
chr4_88489166_88489336	NA	NA	NA	NA	NA	NA
chr21_36048308_36048396	0.772727	0.6	1	0.866667	NA	NA
chr4_153292982_153293133	1	0.870968	0.944444	0.875	NA	NA
chr9_122826616_122826792	0.761905	NA	1	0.913043	NA	NA
chr13_46689133_46689196	NA	0.909091	NA	NA	NA	NA
chr2_20640973_20641180	NA	NA	NA	NA	NA	NA
chr4_165228807_165228913	0.918919	0.875	1	1	0.916667	NA
chr18_14814621_14814711	0.87234	0.804878	NA	NA	NA	NA
chr15_73274692_73274724	NA	NA	0.241379	0.277778	NA	NA
chr18_50274186_50274353	NA	NA	NA	NA	NA	NA
chr15_42528262_42528420	NA	NA	NA	NA	NA	NA
chr12_88092681_88092832	0.974277	0.934498	0.880342	0.957447	0.970588	NA
chr10_103027365_103027459	NA	0.1	NA	NA	NA	NA
chr21_37150820_37150884	0.665939	0.91411	0.988304	0.993333	0.972603	NA
chr16_24758339_24758360	0.538462	0.586957	0.761905	NA	NA	NA
chr2_210098086_210098207	0.125	0.607143	0.578947	0.666667	NA	NA
chr20_44887648_44887742	0.0689655	0.0212766	0.0606061	0.0681818	0.0666667	NA
chr10_104147891_104147998	NA	NA	NA	NA	NA	NA
chr22_42597673_42597737	NA	NA	0	0.0625	NA	NA
chr8_125126966_125127067	0.117647	0.2	0.0465116	0.0208333	NA	NA
chr14_35700162_35700302	0.882353	0.764706	0.125	0.745763	0.72	NA
chr6_73445528_73445747	NA	NA	NA	NA	NA	NA
chr2_189728660_189728821	NA	NA	NA	NA	NA	NA
chrX_40680758_40680910	NA	NA	0.857143	NA	NA	NA
chr2_211657754_211657828	NA	0.03125	1	NA	NA	NA
chr19_17617702_17617849	NA	NA	NA	NA	NA	NA
chr4_87980046_87980126	0.8	0.836066	0.827957	0.860182	0.92	NA
chr6_111311069_111311259	NA	NA	NA	NA	NA	NA
chr6_137011274_137011452	NA	NA	0.857143	NA	NA	NA
chr15_62028358_62028420	0.971429	0.967489	0.0235784	0.0147368	0.0130435	0
chr6_119210846_119210930	NA	NA	NA	NA	NA	NA
chr9_93550577_93550691	NA	NA	NA	NA	NA	NA
chr4_158685101_158685219	0.904762	0.882353	1	0.958333	0.909091	NA
chr12_51486795_51486900	NA	NA	NA	NA	NA	NA
chr2_233488777_233488903	0.20339	0.193548	0	0.015625	0	NA
chr6_8434385_8434430	0.764706	NA	0.6875	0.944444	0.705882	NA
chr13_102651359_102651397	0.0283688	0.0608108	0.164835	0.0232558	0.1	NA
chr12_76459859_76459895	0.964706	0.934426	0.333333	0.162791	0.307692	NA
chr14_66916003_66916069	0.958904	0.929293	0.911111	1	1	NA
chr14_58424008_58424095	0.9375	0.928571	0.941176	0.9375	0.916667	NA
chr12_121244573_121244615	0.945946	0.7	0.272727	0.105263	NA	NA
chr15_34361400_34361532	0.974522	0.936782	0.904762	0.9	0.933333	NA
chrX_19687617_19687691	1	0.333333	NA	NA	NA	NA
chr15_59650669_59650773	0.857143	0.771429	0.978723	0.9	0.842105	NA
chr1_1313035_1313124	0.850746	0.881188	0.893204	0.869565	0.891304	NA
chrX_136209243_136209442	0.776316	0.740741	NA	NA	NA	NA
chr12_19270188_19270205	0.536122	0.876963	0.0266667	0.130435	0.12	NA
chr3_196368028_196368155	1	0.769231	NA	1	NA	NA
chr17_63418307_63418407	NA	NA	NA	NA	NA	NA
chr11_66269563_66269694	NA	NA	NA	0.2	NA	NA
chr7_100408539_100408659	NA	NA	0.866667	0.925926	NA	NA
chr4_84932270_84932363	0.862069	1	0.8125	0.972222	1	NA
chr17_34958560_34958694	NA	NA	0.83871	0.884615	NA	NA
chr4_168377728_168377843	NA	NA	0.571429	NA	NA	NA
chr10_120867066_120867169	0.909091	1	0.9375	0.956522	0.947368	NA
chr5_147395559_147395721	NA	NA	NA	NA	NA	NA
chr3_52198672_52198848	NA	NA	0.0454545	0.153846	NA	NA
chr12_42384940_42384996	0.253012	0.0619469	0.651163	0.0810811	0.0740741	NA
chr8_132825035_132825157	0.209877	0.106061	0.210526	0.125	0.25	NA
chr5_113526586_113526785	0.393333	0.346154	0.277174	0.157407	0.214286	NA
chr6_89372437_89372585	0.97619	0.884615	0.947368	0.928571	NA	NA
chr3_196560996_196561491	0.416667	0.272727	0.6875	0.8	NA	NA
chr12_57178359_57178603	NA	NA	1	NA	NA	NA
chr12_130799168_130799190	1	1	0.0175439	0	0	NA
chr14_104715284_104715340	0	NA	0.363636	0.966102	0.3	NA
chr9_14102422_14102510	0.342857	0.196078	0.08	0.0294118	0.05	NA
chr3_101816795_101817001	NA	NA	NA	0.928571	NA	NA
chr11_71957227_71957264	NA	NA	1	0.944444	0.818182	NA
chr1_23340852_23341017	0.213115	0.270833	0.205479	0.125	0.192982	NA
chr3_131027930_131028002	NA	NA	NA	NA	NA	NA
chr9_83903060_83904018	0.208333	0.321429	0.358974	NA	NA	NA
chr9_137011407_137011554	NA	NA	NA	0.869565	NA	NA
chr17_4109653_4109863	1	0.928571	0.916667	0.611111	NA	NA
chr5_10235211_10235261	NA	NA	NA	NA	NA	NA
chr19_37520184_37520312	NA	NA	0.5	0.266667	0.421053	NA
chr8_143820666_143820716	NA	NA	0.5	0.6875	NA	NA
chr14_64495243_64495559	NA	0.166667	0.1	NA	NA	NA
chr11_18534837_18534942	NA	NA	NA	NA	NA	NA
chr2_232700585_232700654	0.454545	0.5	0.357143	0.5625	0.6	NA
chr9_93079471_93079602	NA	NA	NA	NA	NA	NA
chr16_31261071_31261138	NA	NA	NA	NA	NA	NA
chr10_50099978_50100064	NA	NA	NA	NA	NA	NA
chr8_119793366_119793451	0.714286	NA	NA	NA	NA	NA
chr6_89707361_89707476	NA	NA	0.818182	NA	NA	NA
chr15_89218565_89218693	NA	NA	0.857143	NA	NA	NA
chr10_133557067_133557156	0.909091	0.904762	NA	NA	NA	NA
chr4_95222210_95222266	NA	NA	NA	NA	NA	NA
chr5_140660758_140660815	NA	NA	NA	NA	NA	NA
chr11_96386254_96386293	0.955882	0.913043	0.833333	0.971831	0.818182	NA
chr3_52643248_52643343	0.913043	0.897436	0.958904	0.9	0.941176	NA
chr20_60002813_60002866	NA	NA	0.909091	1	NA	NA
chr19_47503423_47503502	0.931034	0.904762	0.947368	0.923077	0.923077	NA
chr12_77994803_77994871	0.536232	0.636364	0.526316	0.663793	NA	NA
chr21_33572551_33572630	0	0.1875	0.2	0.25	NA	NA
chr4_151100975_151101162	1	1	0.92	0.9	0.842105	NA
chr4_173298115_173298297	NA	0	0.736842	NA	NA	NA
chr13_37010552_37010655	0.73494	0.893617	0.121951	0.679245	0.526316	NA
chr5_65569878_65569998	0.972222	0.851852	0.875	0.851852	1	NA
chr8_22927584_22927720	NA	NA	NA	NA	NA	NA
chr2_50054955_50055044	0.15625	0.882353	0.961538	NA	0.333333	NA
chr7_33035934_33035988	0.45	0.558824	0.173913	0.526316	0.478261	NA
chr1_197512871_197512953	NA	0.928571	NA	NA	NA	NA
chr16_2561771_2561908	NA	NA	NA	NA	NA	NA
chr11_74930300_74930372	NA	NA	0.909091	NA	NA	NA
chr12_42210355_42210454	0.491228	0.55	0.472222	0.35	0.352941	NA
chr10_30941575_30941651	NA	0.75	0.846154	0.9	NA	NA
chr16_56618179_56618244	NA	NA	NA	NA	NA	NA
chr7_11376570_11376657	NA	1	NA	NA	NA	NA
chr19_6696593_6696659	NA	NA	NA	NA	NA	NA
chr2_1912020_1912110	0.9	0.857143	NA	NA	NA	NA
chr3_100558405_100558589	NA	NA	NA	NA	NA	NA
chrX_53562831_53562929	1	0.818182	0.941176	0.882353	NA	NA
chr6_127282287_127282395	NA	NA	NA	NA	NA	NA
chr1_204920632_204920740	0.923077	NA	NA	1	NA	NA
chr1_53947788_53947821	NA	NA	NA	NA	NA	NA
chr10_21928506_21928552	0.75	0.89916	0.941452	0.819549	0.854167	NA
chr6_152130720_152130778	0.254386	0.111111	0.392638	0.8	NA	NA
chr16_2565553_2565697	NA	NA	NA	NA	NA	NA
chr13_37569300_37569383	NA	0.3	NA	NA	NA	NA
chr3_155492729_155492853	NA	NA	NA	NA	NA	NA
chr14_31673355_31673394	0.871795	0.72093	0.880952	0.861111	0.769231	NA
chr10_73762098_73762166	NA	NA	NA	NA	NA	NA
chr3_15004557_15004613	NA	NA	NA	NA	NA	NA
chr15_63641470_63641643	0.857143	NA	NA	NA	NA	NA
chr10_45965789_45965855	0.0789474	0.0714286	0.0285714	0	0	NA
chr3_21510861_21511023	NA	0.881579	NA	NA	NA	NA
chr7_106022198_106022448	NA	0.9	0.933333	NA	NA	NA
chr19_47151996_47152053	NA	NA	NA	NA	NA	NA
chr10_122987334_122987504	0.05	0	NA	NA	NA	NA
chr8_43167944_43168061	0.0731707	0.210526	0.0857143	0.162791	0.0833333	NA
chr17_75269347_75269469	NA	NA	NA	NA	NA	NA
chr2_159427941_159428042	0.582524	0.585106	0.6629	0.627178	0.5	NA
chr1_36259382_36259484	0.895833	0.916667	0.870968	1	0.909091	NA
chr7_143387762_143387787	0.828571	0	NA	NA	NA	NA
chr3_27352465_27352525	1	NA	NA	NA	NA	NA
chr5_72893139_72893246	0.75	NA	1	1	NA	NA
chr8_467720_467746	NA	NA	NA	NA	NA	NA
chr1_117912530_117912683	NA	NA	1	NA	NA	NA
chr17_51193428_51193510	NA	NA	NA	NA	NA	NA
chr10_31854066_31854206	0.681818	0.887324	0.882353	1	NA	NA
chr5_110638198_110638355	0.181818	NA	NA	NA	NA	NA
chr1_25375349_25375428	NA	NA	NA	NA	NA	NA
chr7_24749564_24749793	0.846154	0.833333	NA	NA	NA	NA
chr11_117359432_117359560	NA	NA	NA	NA	NA	NA
chr18_62280360_62280442	0	NA	NA	NA	NA	NA
chr17_30735033_30735097	0.25	0.298851	0.444444	0.543478	0.310345	NA
chr17_81994821_81994878	NA	NA	NA	NA	NA	NA
chr4_55974746_55974969	0.666667	0.6875	0.738095	NA	NA	NA
chr9_17366617_17366717	NA	0.916667	0.941176	NA	NA	NA
chr1_41033983_41034048	NA	NA	NA	NA	NA	NA
chr19_10678613_10678704	0.979592	0.95082	0.822368	1	0.75	NA
chr15_50432338_50432499	0.111111	0.12	0.102564	0	0.157895	NA
chr8_17934706_17934858	0.125786	0.161538	0.0340426	0.158416	0.0819672	NA
chr2_201045496_201045593	0.956522	0.9375	NA	NA	NA	NA
chr7_87454535_87454592	NA	NA	NA	NA	NA	NA
chr3_106842907_106843067	NA	NA	NA	NA	NA	NA
chr21_33343268_33343422	0.935484	0.96875	0.913043	0.965517	1	NA
chr10_97461496_97461622	NA	NA	NA	NA	NA	NA
chr10_114173141_114173265	0.739837	0.625	0.407407	0.1	0.306122	NA
chr8_132003236_132003285	NA	NA	NA	NA	NA	NA
chr17_59866609_59866749	NA	NA	NA	1	NA	NA
chr6_89379224_89379338	0.941176	0.846154	1	NA	NA	NA
chr17_30785919_30786031	NA	NA	NA	NA	NA	NA
chr13_72939848_72939934	0.1875	NA	NA	NA	NA	NA
chr1_229463543_229463676	0.862069	1	1	1	NA	NA
chr8_47729412_47729465	0.97561	0.914286	0.958333	1	0.923077	NA
chr5_134741063_134741523	0.806818	0.871287	0.904762	0.783784	0.857143	NA
chr1_93246105_93246204	NA	NA	NA	NA	NA	NA
chr4_88499926_88499992	NA	NA	NA	NA	NA	NA
chr12_22519115_22519239	1	0.964286	NA	0.0909091	NA	NA
chr8_142540081_142540215	NA	NA	NA	NA	NA	NA
chr14_21073045_21073242	NA	NA	NA	NA	NA	NA
chr21_29025709_29025771	0.763636	0.857143	0.03125	0.552795	0.372093	NA
chr19_32642024_32642145	NA	NA	NA	NA	NA	NA
chr10_91997080_91997191	0.05	0.166667	0.117647	0.1	0	NA
chr1_183806375_183806485	0.4	0.45	0.980583	0.969231	NA	NA
chr2_172501772_172501901	NA	NA	0.962264	NA	NA	NA
chr22_23960691_23960794	NA	NA	NA	NA	NA	NA
chr4_39462196_39462289	0.863636	0.869565	0.730769	0.741935	NA	NA
chr21_15822288_15822411	0.347222	0.272727	0.25	NA	NA	NA
chr5_53101359_53101509	0.8875	0.792683	1	0.75	NA	NA
chr17_59064355_59064405	NA	0.818182	NA	NA	NA	NA
chr5_150006473_150006647	NA	NA	NA	NA	NA	NA
chr11_68505145_68505271	0.0169492	0.0973451	0.12844	0.131868	0.166667	NA
chr10_98435272_98435414	NA	NA	0.65	NA	NA	NA
chr1_39340502_39340717	0.521739	0.55	0.738007	0.5	0.846154	NA
chr19_6415534_6415734	NA	NA	NA	NA	NA	NA
chr3_54987683_54987753	0.926829	0.923077	NA	NA	NA	NA
chr8_129904499_129904585	NA	0.846154	NA	0.8	NA	NA
chr16_88698502_88698609	NA	NA	NA	NA	NA	NA
chr2_73534824_73534949	0.833333	0.583333	0.846154	NA	NA	NA
chr10_125885365_125885676	0.285714	0.285714	0.133333	NA	0.136364	NA
chr7_102459604_102459801	NA	0.923077	NA	NA	NA	NA
chr12_22502739_22502804	0.490909	0.375	0	0	0	NA
chr1_44792683_44792970	NA	NA	NA	NA	NA	NA
chr14_68882873_68883055	1	NA	0.704225	NA	NA	NA
chr2_42261121_42261294	NA	NA	1	NA	NA	NA
chr10_20845258_20845368	0.973154	0.950413	0.726496	NA	0.459459	NA
chr14_55601757_55601880	0.156923	0.0977778	0.0909091	0.158273	0.106061	NA
chr8_130847424_130847513	NA	NA	0.5	NA	NA	NA
chr11_3026676_3026797	NA	NA	NA	NA	NA	NA
chr19_18122107_18122127	0	NA	NA	NA	NA	NA
chr6_26388013_26388294	NA	NA	0.923077	NA	NA	NA
chr1_32810911_32811057	0.894737	1	0.794872	0.8125	NA	NA
chr9_34234216_34234340	0.857143	1	0.973684	0.941176	NA	NA
chr13_20592335_20592404	1	0.857143	0.972603	0.923077	NA	NA
chr20_26019076_26019202	NA	NA	0.970588	NA	NA	NA
chrX_15459657_15459740	0.826087	0.866667	0.981818	0.902439	NA	NA
chr19_48162262_48162351	0.857143	0.47619	0.888889	0.970588	NA	NA
chr2_61222619_61222663	NA	NA	NA	NA	NA	NA
chr1_200828573_200828605	0.428571	NA	0	NA	NA	NA
chr4_183684145_183684223	NA	NA	NA	NA	NA	NA
chr1_77639449_77639602	0.979167	0.965517	1	0.75	0.941176	NA
chr11_70350994_70351023	NA	NA	0.2	NA	NA	NA
chr19_1093904_1094078	1	NA	0.944444	0.913043	NA	NA
chr6_87534735_87534858	0.0909091	0.1875	0	0.272727	0	NA
chr5_34949543_34949677	0.627451	0.166667	0.181818	0.0588235	NA	NA
chr3_44359108_44359199	NA	NA	NA	NA	NA	NA
chr3_15751750_15751820	0.857143	0.892857	0.941176	0.85	1	NA
chr11_8153375_8153423	0.0718954	0.0340909	0.439306	0.165138	0.200855	NA
chr7_6015146_6015352	NA	NA	0.9	0.944444	NA	NA
chr10_98388354_98388508	NA	NA	0.0416667	NA	NA	NA
chr3_9468519_9468575	NA	0.153846	0	NA	0	NA
chr12_111516154_111516363	0.793103	0.677419	0.939394	0.941176	0.727273	NA
chr1_44789569_44789670	NA	NA	NA	NA	NA	NA
chr9_75016553_75016805	0.142857	0	0.0625	0	NA	NA
chr17_63825048_63825163	NA	NA	NA	NA	NA	NA
chr19_43487024_43487123	NA	0.733333	NA	NA	NA	NA
chr10_73272928_73273017	0.702703	0.714286	0.982906	0.928571	NA	NA
chr4_113504976_113505035	NA	NA	NA	NA	NA	NA
chr14_88601924_88602083	NA	0.416667	NA	NA	NA	NA
chr4_48571690_48571895	NA	0	0.363636	0.05	NA	NA
chr1_112579190_112579376	NA	NA	NA	NA	NA	NA
chr3_49722432_49722510	NA	NA	NA	NA	NA	NA
chr3_167373706_167373787	0.560976	NA	NA	NA	NA	NA
chr19_3637536_3637613	NA	NA	NA	NA	NA	NA
chr9_137577470_137577603	NA	NA	NA	NA	NA	NA
chr17_1541566_1541640	NA	1	0.933333	NA	NA	NA
chr15_28618219_28618378	NA	NA	NA	NA	NA	NA
chr7_100401889_100402041	0.0588235	0	0.0816327	0.180328	0.166667	NA
chr12_15713266_15713325	NA	0.0769231	0.0208333	NA	0	NA
chr1_236825338_236825399	0.791667	0.8	0.764706	NA	NA	NA
chr2_86039327_86039462	NA	NA	NA	NA	NA	NA
chr11_46763481_46763630	NA	NA	NA	NA	NA	NA
chr8_41663659_41663742	NA	0.944444	NA	NA	NA	NA
chr2_71393394_71393645	0.148148	0.111111	0.357143	0.1	0.583333	NA
chr1_88804391_88804534	0.0769231	0.2	1	NA	NA	NA
chr1_24654306_24654343	0.285714	0.2	0.347826	0.314286	NA	NA
chr2_131491876_131492024	0.924731	0.985075	0.890909	0.933333	1	NA
chr16_69568495_69568548	0.0854701	0.185185	0.318471	0.210526	0.225	NA
chr5_88761185_88761328	0.993103	0.987097	0.9	NA	NA	NA
chr1_183025739_183025841	NA	NA	0.2	NA	NA	NA
chr8_27536784_27536855	NA	NA	1	NA	NA	NA
chr9_96504098_96504163	NA	NA	NA	NA	NA	NA
chr10_12106246_12106396	NA	NA	NA	NA	NA	NA
chr1_113672615_113672741	0.8125	0.769231	0.857143	NA	NA	NA
chr12_50473415_50473536	0.90625	0.947368	0.948718	1	0.909091	NA
chr12_25161113_25161197	0.703704	0.684211	0.769231	NA	NA	NA
chr19_52402429_52402545	0.272727	0.153846	0.222222	NA	NA	NA
chr14_37369517_37369624	0.9	NA	NA	NA	NA	NA
chr6_29944122_29944397	0.926829	0.907407	0.961078	0.907216	0.951613	0.983607
chr3_113581361_113581444	0.941176	0.909091	NA	NA	NA	NA
chr5_157564373_157564443	0.923077	0.846154	NA	NA	NA	NA
chr5_140643564_140643675	NA	NA	NA	NA	NA	NA
chr7_5932782_5932875	0.0769231	NA	NA	NA	NA	NA
chr18_31071605_31071841	NA	NA	0.916667	NA	NA	NA
chr14_24072933_24073104	NA	NA	0.882353	NA	NA	NA
chr22_20801973_20802105	NA	NA	NA	NA	NA	NA
chr2_202897300_202897415	0.632353	0.770833	0.945205	0.941176	0.823529	NA
chr5_177531282_177531521	0.769231	0.833333	0.928571	0.933333	NA	NA
chr4_121809967_121810099	0.793103	0.777778	0.958333	0.785714	NA	NA
chr19_4683190_4683324	NA	NA	NA	NA	NA	NA
chr16_92596_92725	NA	NA	0.818182	1	NA	NA
chr4_15555072_15555210	NA	NA	NA	NA	NA	NA
chr3_39112458_39112580	0.636364	0.7	NA	NA	NA	NA
chr12_51104155_51104203	NA	NA	0.9	NA	NA	NA
chr7_50376533_50376793	NA	NA	NA	NA	NA	NA
chr3_180986943_180987022	0.875	0.918919	0.861111	0.655172	1	NA
chr2_97124460_97124597	0.0384615	0.0636364	0.228571	0.2	0.115385	NA
chr1_154269362_154269412	0.08	0	0.0952381	0.0769231	0.1	NA
chr7_149011846_149012004	NA	NA	NA	NA	NA	NA
chr7_45104099_45104256	NA	NA	NA	NA	NA	NA
chr12_95748106_95748223	NA	NA	NA	NA	NA	NA
chr2_58206527_58206586	NA	NA	NA	0	NA	NA
chr11_126229225_126229293	0.545455	0.785714	NA	NA	NA	NA
chr7_152660701_152660782	0.285714	NA	NA	NA	NA	NA
chrX_153569603_153569756	0.742857	0.390244	NA	NA	NA	NA
chr1_224311800_224311857	0.851064	0.666667	0.8125	0.794118	0.8	NA
chr13_43868694_43868803	NA	NA	NA	NA	NA	NA
chr11_22218246_22218287	0.0454545	0	0.230769	NA	NA	NA
chr2_16555069_16555139	0.946429	0.9	0.933333	NA	NA	NA
chr16_71808015_71808150	0.133333	0.117647	0.09375	0.103448	0	NA
chr12_8992206_8992310	NA	NA	NA	NA	NA	NA
chr7_76618497_76618615	NA	NA	NA	0.1	NA	NA
chrX_19694995_19695051	0.866667	0	NA	NA	NA	NA
chr1_155024472_155024602	NA	NA	NA	NA	NA	NA
chr8_103652205_103652237	0.0769231	0.0952381	NA	NA	0.0555556	NA
chr14_90302720_90303125	NA	NA	NA	NA	NA	NA
chr3_38131596_38131638	0.103448	0.227273	0.673077	0.8	0.380952	NA
chr2_8747887_8748000	0.130435	0.0588235	1	1	0.727273	NA
chr17_3840100_3840205	0.985075	0.959459	0.931034	0.919355	0.944444	NA
chr1_154219836_154219937	NA	0.916667	1	1	NA	NA
chr20_33360351_33360491	0.891667	0.921569	0.96	0.9375	1	NA
chr7_107902325_107902393	0.681818	0.904762	1	NA	1	NA
chr11_3038050_3038199	NA	NA	0.875	NA	NA	NA
chr10_113161579_113161603	0.769231	NA	0	NA	NA	NA
chr1_179877239_179877373	NA	NA	NA	NA	NA	NA
chr1_214011521_214011715	NA	0.933333	NA	0.909091	NA	NA
chr20_36209488_36209898	1	0.965517	0.166667	0.0588235	NA	NA
chr1_16582544_16582758	NA	0.705882	0.733333	0.619048	NA	NA
chr11_22731331_22731425	0.826087	0.642857	NA	NA	NA	NA
chr11_22236163_22236276	NA	NA	0.9	NA	NA	NA
chr2_169681007_169681233	0	0	NA	NA	NA	NA
chr17_41821654_41821817	NA	NA	0.881579	NA	0.9	NA
chr15_90765296_90765414	NA	NA	NA	NA	NA	NA
chr6_84185807_84185893	0	0	0.113208	0.444444	0.05	NA
chr2_138554439_138554535	NA	0	NA	NA	NA	NA
chr20_17436708_17436883	NA	NA	NA	NA	NA	NA
chr1_41159725_41159933	NA	NA	NA	NA	NA	NA
chr12_106878987_106879125	NA	NA	NA	NA	NA	NA
chrX_24745418_24745542	NA	NA	0.941176	1	NA	NA
chr16_31733567_31733627	NA	NA	0.0740741	NA	0	NA
chr12_50142053_50142110	NA	0.75	NA	NA	NA	NA
chr2_159411907_159411995	0.0610687	0.0909091	0.0644628	0.0453258	0.0483871	NA
chr8_24313388_24313580	NA	NA	NA	NA	NA	NA
chr15_99598430_99598511	0.864865	0.826087	0.756098	0.857143	0.888889	NA
chr12_62374390_62374535	0.257143	0.185185	0.52381	NA	0.636364	NA
chr22_17511813_17511896	NA	NA	0.0869565	0.519481	0.333333	NA
chr12_62737502_62737586	NA	NA	NA	0.923077	NA	NA
chr6_44954495_44954607	NA	NA	NA	NA	NA	NA
chr19_3014570_3014614	NA	NA	NA	NA	NA	NA
chr17_9842495_9842616	0.772727	NA	NA	NA	NA	NA
chr6_25450638_25450711	NA	NA	NA	NA	NA	NA
chr10_43573637_43573677	NA	NA	NA	NA	NA	NA
chr3_10336129_10336300	0.363636	0.763158	0.0833333	NA	NA	NA
chr18_6263947_6264038	NA	0.722222	NA	0.928571	1	NA
chr11_1955611_1955781	0.25	0.0769231	0.0689655	0.0540541	NA	NA
chr14_54957592_54957635	NA	NA	NA	NA	NA	NA
